name,position
Abdalla Mahmoud El Said Bekhit_Center Attacking Midfield.csv,Side Wing
Adem Ljajić_Center Attacking Midfield.csv,Side Wing
Aibanbha Kupar Dohling_Side Center Back.csv,Side Center Midfield
Alexandra Riley_Side Back.csv,Side Center Back
Ali Krieger_Side Back.csv,Side Center Back
Andrea Costa_Side Center Back.csv,Center Defensive Midfield
Andrés Eduardo Fernández Moreno_Goalkeeper.csv,Goalkeeper
Antoine Griezmann_Center Attacking Midfield.csv,Center Defensive Midfield
Ashley Westwood_Center Defensive Midfield.csv,Center Defensive Midfield
Batista Mendy_Center Defensive Midfield.csv,Side Defensive Midfield
Benedikt Höwedes_Side Center Back.csv,Side Back
Bruno Miguel Borges Fernandes_Side Wing.csv,Side Defensive Midfield
Bryan Dabo_Side Back.csv,Side Center Back
Bryan Oviedo_Side Back.csv,Side Center Back
Caiuby Francisco da Silva_Side Wing.csv,Center Defensive Midfield
Carlos Alberto Vela Garrido_Side Wing.csv,Center Attacking Midfield
Carlos Henrique Casimiro_Center Defensive Midfield.csv,Side Defensive Midfield
Chiamaka Cynthia Nnadozie_Goalkeeper.csv,Goalkeeper
Christian Dannemann Eriksen_Side Wing.csv,Center Attacking Midfield
Christian Gentner_Center Attacking Midfield.csv,Side Wing
Clément Chantôme_Center Defensive Midfield.csv,Side Defensive Midfield
Dani Castellano Betancor_Side Back.csv,Side Center Back
Daniele Padelli_Goalkeeper.csv,Goalkeeper
David Josué Jiménez Silva_Side Wing.csv,Center Defensive Midfield
Dheeraj Singh Moirangthem_Goalkeeper.csv,Goalkeeper
Diego Antonio Reyes Rosales_Side Center Back.csv,Side Back
Eden Hazard_Side Wing.csv,Side Defensive Midfield
Enzo Maresca_Center Defensive Midfield.csv,Side Center Back
Eve Perisset_Side Back.csv,Side Center Back
Fabián Ariel Orellana Valenzuela_Center Attacking Midfield.csv,Center Defensive Midfield
Fabián Ariel Orellana Valenzuela_Side Wing.csv,Center Attacking Midfield
Federico Marchetti_Goalkeeper.csv,Goalkeeper
Felipe Melo de Carvalho_Center Defensive Midfield.csv,Side Defensive Midfield
Gary Alexis Medel Soto_Side Center Back.csv,Center Defensive Midfield
Georgia Brougham_Side Center Back.csv,Side Defensive Midfield
Gélson da Conceição Tavares Fernandes_Center Defensive Midfield.csv,Center Defensive Midfield
Ignacio Monreal Eraso_Side Back.csv,Side Center Back
Iván Cuéllar Sacristán_Goalkeeper.csv,Goalkeeper
Jackie Groenen_Center Defensive Midfield.csv,Side Defensive Midfield
Jacqueline Burns_Goalkeeper.csv,Goalkeeper
Jade Moore_Center Defensive Midfield.csv,Side Defensive Midfield
James David Rodríguez Rubio_Side Wing.csv,Center Attacking Midfield
Joel Robles Blázquez_Goalkeeper.csv,Side Center Back
Jonathan Bamba_Side Wing.csv,Side Back
Jordan Nobbs_Side Wing.csv,Goalkeeper
Joël Andre Job Matip_Side Center Back.csv,Center Defensive Midfield
Julian Draxler_Side Wing.csv,Center Attacking Midfield
Jérémy Mathieu_Side Back.csv,Center Defensive Midfield
Karen Bardsley_Goalkeeper.csv,Goalkeeper
Kevin Trapp_Goalkeeper.csv,Goalkeeper
Koen Casteels_Goalkeeper.csv,Goalkeeper
Konsham Chinglensana Singh_Side Center Back.csv,Center Defensive Midfield
Kossi Agassa_Goalkeeper.csv,Goalkeeper
Leon Aderemi Balogun_Side Center Back.csv,Side Back
Lucas Hernández Pi_Side Back.csv,Side Center Back
Lucas Torreira Di Pascua_Center Defensive Midfield.csv,Side Defensive Midfield
Marcelo Brozović_Center Attacking Midfield.csv,Center Defensive Midfield
Marco Asensio Willemsen_Side Wing.csv,Side Center Midfield
Maren Nævdal Mjelde_Center Defensive Midfield.csv,Side Center Midfield
Maren Nævdal Mjelde_Side Back.csv,Side Center Back
Maren Nævdal Mjelde_Side Center Back.csv,Side Back
Marion Torrent_Side Back.csv,Side Center Back
Massimo Gobbi_Side Back.csv,Side Center Back
Maximiliano Nicol Moralez_Side Wing.csv,Center Attacking Midfield
Mayumi Pacheco_Side Back.csv,Side Center Back
Megan Campbell_Side Back.csv,Side Center Back
Merle Frohms_Goalkeeper.csv,Goalkeeper
Neymar da Silva Santos Junior_Side Wing.csv,Center Attacking Midfield
Nicolás Alejandro Tagliafico_Side Center Back.csv,Side Back
Noelle Maritz_Side Back.csv,Side Center Back
Paul Breitner_Side Back.csv,Side Back
Pedro Eliezer Rodríguez Ledesma_Side Wing.csv,Side Wing
Petr Čech_Goalkeeper.csv,Side Back
Phil Jagielka_Side Center Back.csv,Goalkeeper
Pierluigi Gollini_Goalkeeper.csv,Side Defensive Midfield
Rachael Laws_Goalkeeper.csv,Goalkeeper
Ramona Bachmann_Side Wing.csv,Goalkeeper
Rasheedat Busayo Ajibade_Side Wing.csv,Side Defensive Midfield
Rebecca Elizabeth Sauerbrunn_Side Center Back.csv,Center Attacking Midfield
Reece James_Side Back.csv,Side Back
Rocío Gálvez Luna_Side Center Back.csv,Side Center Back
Ron-Robert Zieler_Goalkeeper.csv,Side Defensive Midfield
Rubén Peña Jiménez_Side Back.csv,Goalkeeper
Sarah Bouhaddi_Goalkeeper.csv,Side Center Back
Sergio Ramos García_Side Center Back.csv,Goalkeeper
Sherida Spitse_Center Defensive Midfield.csv,Center Defensive Midfield
Thiago Motta_Center Defensive Midfield.csv,Center Defensive Midfield
Thomas Lemar_Side Wing.csv,Side Center Back
Thomas Müller_Side Wing.csv,Center Defensive Midfield
Timothy Castagne_Side Back.csv,Side Back
Tin Jedvaj_Side Center Back.csv,Side Center Back
Tomoaki Makino_Side Center Back.csv,Side Defensive Midfield
Unai Núñez Gestoso_Side Center Back.csv,Side Back
Vasco Regini_Side Back.csv,Side Back
Vyan Sampson_Side Center Back.csv,Side Center Back
Víctor Valdés Arribas_Goalkeeper.csv,Goalkeeper
Wayne Hennessey_Goalkeeper.csv,Side Back
Willian Borges da Silva_Side Wing.csv,Goalkeeper
Xavier Hernández Creus_Center Defensive Midfield.csv,Side Center Midfield
Óscar Esau Duarte Gaitán_Side Center Back.csv,Side Defensive Midfield
